Ship_ID,Inter_Arrival_Hours,Service_Hours
NAV-0405,43.02,24.47
NAV-0406,60.69,20.0
NAV-0407,56.41,21.69
NAV-0408,19.84,65.69
NAV-0409,37.98,40.36
NAV-0410,10.26,20.54
NAV-0411,14.49,24.15
NAV-0412,69.22,34.74
NAV-0413,0.94,10.1
NAV-0414,4.68,28.61
NAV-0415,10.4,38.98
NAV-0416,1.72,35.89
NAV-0417,9.16,14.42
NAV-0418,31.31,16.5
NAV-0419,21.18,4.37
NAV-0420,68.33,41.57
NAV-0421,54.48,82.54
NAV-0422,16.93,12.91
NAV-0423,12.84,50.7
NAV-0424,18.9,78.2
NAV-0425,31.83,18.62
NAV-0426,13.26,24.17
NAV-0427,34.37,30.74
NAV-0428,20.51,35.17
NAV-0429,29.15,31.83
NAV-0430,22.0,19.68
NAV-0431,14.55,38.6
NAV-0432,86.59,20.0
NAV-0433,47.49,33.25
NAV-0434,7.24,25.49
NAV-0435,63.1,5.57
NAV-0436,25.02,55.27
NAV-0437,68.78,16.83
NAV-0438,52.02,58.62
NAV-0439,21.39,49.47
NAV-0440,1.49,30.15
NAV-0441,13.29,36.33
NAV-0442,28.46,39.14
NAV-0443,35.11,22.67
NAV-0444,12.77,23.42
NAV-0445,7.21,37.96
NAV-0446,57.16,25.67
NAV-0447,114.82,19.72
NAV-0448,27.41,14.6
NAV-0449,8.71,33.87
NAV-0450,13.47,16.43
NAV-0451,1.26,44.4
NAV-0452,74.03,46.73
NAV-0453,6.2,36.16
NAV-0454,30.84,41.03
NAV-0455,13.55,36.22
NAV-0456,29.3,42.86
NAV-0457,36.56,41.73
NAV-0458,56.34,32.71
NAV-0459,10.33,49.85
NAV-0460,0.82,23.22
NAV-0461,7.09,14.94
NAV-0462,70.14,14.36
NAV-0463,64.19,20.93
NAV-0464,32.35,4.85
NAV-0465,32.58,29.95
NAV-0466,37.71,39.47
NAV-0467,8.88,46.33
NAV-0468,74.06,6.69
NAV-0469,21.03,14.72
NAV-0470,19.09,43.58
NAV-0471,26.98,22.72
NAV-0472,2.79,38.92
NAV-0473,8.46,9.68
NAV-0474,44.65,58.2
NAV-0475,4.55,9.06
NAV-0476,32.77,29.38
NAV-0477,12.17,29.88
NAV-0478,19.42,18.25
NAV-0479,14.27,35.35
NAV-0480,17.64,35.99
NAV-0481,42.7,33.57
NAV-0482,14.68,18.01
NAV-0483,30.14,15.56
NAV-0484,24.33,19.42
NAV-0485,37.6,14.01
NAV-0486,81.61,51.25
NAV-0487,44.08,20.63
NAV-0488,10.73,28.84
NAV-0489,1.97,43.47
NAV-0490,12.98,13.49
NAV-0491,32.18,8.74
NAV-0492,3.02,14.05
NAV-0493,25.56,30.92
NAV-0494,32.31,29.57
NAV-0495,16.54,33.52
NAV-0496,48.35,24.22
NAV-0497,5.68,2.33
NAV-0498,4.18,23.7
NAV-0499,43.63,47.05
NAV-0500,25.51,54.52
NAV-0501,39.78,27.6
NAV-0502,21.93,29.64
NAV-0503,12.22,38.46
NAV-0504,54.73,53.59
NAV-0505,51.96,26.01
NAV-0506,40.36,38.13
NAV-0507,13.46,17.44
NAV-0508,31.83,9.85
NAV-0509,17.92,18.79
NAV-0510,4.97,61.02
NAV-0511,74.92,38.61
NAV-0512,7.09,10.63
NAV-0513,87.44,39.73
NAV-0514,22.57,11.29
NAV-0515,9.33,33.23
NAV-0516,28.47,13.1
NAV-0517,64.0,10.14
NAV-0518,44.04,67.15
NAV-0519,52.93,20.62
NAV-0520,37.18,38.18
NAV-0521,40.14,26.73
NAV-0522,59.54,12.01
NAV-0523,12.38,22.17
NAV-0524,25.14,12.09
NAV-0525,11.02,96.14
NAV-0526,120.2,42.47
NAV-0527,84.59,26.4
NAV-0528,2.41,36.91
NAV-0529,41.39,40.79
NAV-0530,77.44,40.86
NAV-0531,9.12,39.79
NAV-0532,30.24,37.92
NAV-0533,74.38,27.84
NAV-0534,2.12,64.08
NAV-0535,40.61,29.02
NAV-0536,14.69,26.91
NAV-0537,77.16,29.18
NAV-0538,100.42,30.55
NAV-0539,84.68,6.74
NAV-0540,24.22,13.94
NAV-0541,61.86,24.22
NAV-0542,58.74,6.44
NAV-0543,15.78,26.37
NAV-0544,56.21,30.29
NAV-0545,2.28,9.49
NAV-0546,32.27,16.56
NAV-0547,11.44,55.84
NAV-0548,6.33,37.15
NAV-0549,4.27,35.83
NAV-0550,40.51,51.79
NAV-0551,16.83,14.15
NAV-0552,43.28,9.51
NAV-0553,3.71,47.63
NAV-0554,15.58,24.68
NAV-0555,28.32,13.86
NAV-0556,50.81,6.69
NAV-0557,15.76,29.4
NAV-0558,34.51,22.79
NAV-0559,66.78,20.18
NAV-0560,33.73,3.23
NAV-0561,11.58,63.58
NAV-0562,1.6,8.09
NAV-0563,63.43,21.57
NAV-0564,1.43,19.13
NAV-0565,64.36,37.84
NAV-0566,27.62,6.76
NAV-0567,82.5,35.05
NAV-0568,51.87,29.5
NAV-0569,159.72,15.97
NAV-0570,17.39,34.27
NAV-0571,47.91,26.34
NAV-0572,20.1,72.67
NAV-0573,24.56,22.77
NAV-0574,34.64,12.5
NAV-0575,64.15,35.27
NAV-0576,114.36,20.85
NAV-0577,48.04,25.99
NAV-0578,20.97,9.58
NAV-0579,21.17,38.21
NAV-0580,44.61,18.55
NAV-0581,11.86,30.98
NAV-0582,5.86,83.52
NAV-0583,17.59,21.88
NAV-0584,14.2,41.48
NAV-0585,14.64,22.93
NAV-0586,11.61,16.13
NAV-0587,2.54,57.02
NAV-0588,1.23,5.0
NAV-0589,120.3,48.17
NAV-0590,21.53,4.42
NAV-0591,19.15,45.17
NAV-0592,38.99,26.25
NAV-0593,10.89,12.53
NAV-0594,87.31,19.45
NAV-0595,50.25,40.1
NAV-0596,4.86,78.87
NAV-0597,20.96,7.0
NAV-0598,65.28,13.14
NAV-0599,84.89,8.87
NAV-0600,23.81,22.8
NAV-0601,33.55,45.91
NAV-0602,8.49,7.87
NAV-0603,127.76,25.79
NAV-0604,11.52,45.02
NAV-0605,84.02,19.25
NAV-0606,36.42,29.67
NAV-0607,33.12,54.51
NAV-0608,26.58,11.3
NAV-0609,11.47,5.54
NAV-0610,8.93,32.06
NAV-0611,10.99,32.64
NAV-0612,9.39,18.31
NAV-0613,49.4,15.8
NAV-0614,17.36,26.61
NAV-0615,3.34,11.14
NAV-0616,98.87,11.15
NAV-0617,66.3,39.94
NAV-0618,78.29,10.53
NAV-0619,140.04,5.88
NAV-0620,8.81,15.77
NAV-0621,19.79,18.63
NAV-0622,46.87,35.05
NAV-0623,40.48,16.81
NAV-0624,7.88,60.09
NAV-0625,54.25,27.54
NAV-0626,11.18,14.18
NAV-0627,11.15,34.11
NAV-0628,28.15,59.45
NAV-0629,32.02,39.26
NAV-0630,31.1,7.46
NAV-0631,4.96,19.79
NAV-0632,64.93,30.67
NAV-0633,13.14,38.26
NAV-0634,6.75,22.9
NAV-0635,67.41,20.74
NAV-0636,90.23,72.35
NAV-0637,61.88,39.63
NAV-0638,53.35,34.18
NAV-0639,36.88,17.33
NAV-0640,29.07,11.01
NAV-0641,4.75,34.56
NAV-0642,20.46,42.33
NAV-0643,18.53,25.9
NAV-0644,12.86,39.69
NAV-0645,43.14,40.32
NAV-0646,25.53,44.07
NAV-0647,4.47,7.35
NAV-0648,10.98,20.19
NAV-0649,39.31,35.88
NAV-0650,4.23,26.89
NAV-0651,59.89,40.4
NAV-0652,25.49,34.17
NAV-0653,24.6,3.5
NAV-0654,31.98,50.59
NAV-0655,55.56,18.43
NAV-0656,17.24,13.54
NAV-0657,38.85,49.58
NAV-0658,30.09,38.49
NAV-0659,13.21,53.82
NAV-0660,65.18,30.89
NAV-0661,51.69,20.01
NAV-0662,37.15,28.62
NAV-0663,59.78,11.73
NAV-0664,62.87,8.68
NAV-0665,41.65,16.39
NAV-0666,57.49,63.59
NAV-0667,40.62,17.64
NAV-0668,39.03,6.0
NAV-0669,33.94,23.34
NAV-0670,46.25,17.47
NAV-0671,8.1,51.15
NAV-0672,65.66,60.9
NAV-0673,63.78,19.36
NAV-0674,1.87,30.87
NAV-0675,55.73,32.56
NAV-0676,6.72,25.15
NAV-0677,16.59,22.14
NAV-0678,45.24,12.85
NAV-0679,8.2,5.12
NAV-0680,54.56,12.8
NAV-0681,56.71,24.55
NAV-0682,26.25,7.88
NAV-0683,0.52,29.84
NAV-0684,14.19,27.24
NAV-0685,33.82,17.49
NAV-0686,110.5,21.49
NAV-0687,34.98,9.14
NAV-0688,12.86,43.58
NAV-0689,35.15,43.13
NAV-0690,28.35,10.53
NAV-0691,49.44,10.79
NAV-0692,5.69,12.93
NAV-0693,47.19,37.01
NAV-0694,28.43,32.49
NAV-0695,94.58,49.23
NAV-0696,16.93,52.61
NAV-0697,35.04,7.25
NAV-0698,79.8,36.18
NAV-0699,5.48,51.35
NAV-0700,81.77,20.53
NAV-0701,39.73,25.59
NAV-0702,3.83,23.04
NAV-0703,14.87,23.75
NAV-0704,41.63,43.49
NAV-0705,3.8,70.77
NAV-0706,31.25,58.83
NAV-0707,17.14,18.09
NAV-0708,34.12,30.94
NAV-0709,2.73,14.47
NAV-0710,63.71,15.61
NAV-0711,102.49,24.83
NAV-0712,98.7,15.3
NAV-0713,45.91,17.04
NAV-0714,6.77,30.46
NAV-0715,46.88,35.86
NAV-0716,1.61,35.26
NAV-0717,1.48,35.48
NAV-0718,16.0,9.69
NAV-0719,25.09,14.71
NAV-0720,48.29,26.68
NAV-0721,39.32,49.93
NAV-0722,22.56,94.09
NAV-0723,13.53,31.74
NAV-0724,152.57,40.94
NAV-0725,21.44,8.8
NAV-0726,22.88,40.26
NAV-0727,8.33,79.46
NAV-0728,51.34,14.67
NAV-0729,40.27,17.45
NAV-0730,11.0,44.33
NAV-0731,4.53,26.45
NAV-0732,39.07,4.7
NAV-0733,36.82,18.23
NAV-0734,13.51,60.74
NAV-0735,87.75,21.38
NAV-0736,7.75,21.36
NAV-0737,21.79,42.61
NAV-0738,84.4,32.48
NAV-0739,21.08,20.58
NAV-0740,35.51,16.62
NAV-0741,19.87,120.62
NAV-0742,13.56,54.76
NAV-0743,114.21,35.47
NAV-0744,20.51,36.91
NAV-0745,68.67,23.85
NAV-0746,11.44,32.23
NAV-0747,10.64,22.15
NAV-0748,1.97,13.67
NAV-0749,36.59,33.05
NAV-0750,18.31,20.85
NAV-0751,62.3,34.15
NAV-0752,24.16,38.26
NAV-0753,98.19,35.3
NAV-0754,9.35,12.83
NAV-0755,63.13,19.3
NAV-0756,49.04,21.13
NAV-0757,48.35,47.33
NAV-0758,58.78,45.83
NAV-0759,47.19,15.37
NAV-0760,34.54,9.5
NAV-0761,6.83,96.74
NAV-0762,2.04,34.42
NAV-0763,76.02,8.47
NAV-0764,33.79,17.25
NAV-0765,51.57,48.54
NAV-0766,24.66,83.09
NAV-0767,6.18,75.03
NAV-0768,6.55,33.51
NAV-0769,39.52,26.06
NAV-0770,21.67,11.89
NAV-0771,10.05,27.54
NAV-0772,25.27,13.17
NAV-0773,3.65,19.44
NAV-0774,31.23,44.3
NAV-0775,13.31,22.07
NAV-0776,51.71,21.06
NAV-0777,15.34,25.12
NAV-0778,23.1,105.2
NAV-0779,0.86,10.89
NAV-0780,4.05,31.28
NAV-0781,19.59,71.08
NAV-0782,24.56,25.07
NAV-0783,32.54,54.15
NAV-0784,14.41,8.97
NAV-0785,40.39,22.58
NAV-0786,61.5,14.27
NAV-0787,49.44,24.89
NAV-0788,2.42,25.25
NAV-0789,24.6,27.04
NAV-0790,5.6,44.05
NAV-0791,12.01,3.08
NAV-0792,118.41,16.69
NAV-0793,7.35,29.91
NAV-0794,25.72,4.94
NAV-0795,33.91,38.55
NAV-0796,41.09,16.46
NAV-0797,29.67,22.87
NAV-0798,0.74,45.28
NAV-0799,16.15,55.65
NAV-0800,26.9,39.29
NAV-0801,4.79,10.64
NAV-0802,17.38,38.08
NAV-0803,2.08,39.68
NAV-0804,4.35,34.94
NAV-0805,19.83,61.12
NAV-0806,6.9,27.51
NAV-0807,30.21,59.72
NAV-0808,39.88,59.5
NAV-0809,52.11,40.38
NAV-0810,10.04,31.6
NAV-0811,8.51,35.07
NAV-0812,5.58,69.07
NAV-0813,35.34,49.89
NAV-0814,41.47,11.69
NAV-0815,1.99,33.68
NAV-0816,81.37,13.72
NAV-0817,3.04,16.1
NAV-0818,28.43,19.99
NAV-0819,41.72,8.24
NAV-0820,63.6,13.04
NAV-0821,42.21,63.13
NAV-0822,52.27,16.03
NAV-0823,16.81,44.2
NAV-0824,54.1,29.15
NAV-0825,4.42,37.05
NAV-0826,68.85,38.04
NAV-0827,28.85,12.59
NAV-0828,54.46,44.04
NAV-0829,22.93,9.74
NAV-0830,35.92,15.53
NAV-0831,27.46,37.7
NAV-0832,43.98,11.94
NAV-0833,4.49,4.46
NAV-0834,3.46,32.68
NAV-0835,12.25,7.0
NAV-0836,8.14,39.94
NAV-0837,63.76,21.02
NAV-0838,10.93,32.38
NAV-0839,104.69,31.99
NAV-0840,16.68,41.79
NAV-0841,9.19,38.39
NAV-0842,50.68,11.86
NAV-0843,37.17,21.92
NAV-0844,25.68,32.35
NAV-0845,29.38,60.36
NAV-0846,42.72,38.61
NAV-0847,11.37,57.25
NAV-0848,147.27,33.45
NAV-0849,103.67,50.42
NAV-0850,36.47,30.66
NAV-0851,10.01,49.17
NAV-0852,39.04,20.27
NAV-0853,4.04,64.55
NAV-0854,1.94,35.87
NAV-0855,12.76,8.29
NAV-0856,23.53,33.05
NAV-0857,63.06,38.69
NAV-0858,43.52,44.98
NAV-0859,45.15,78.05
NAV-0860,21.4,18.05
NAV-0861,17.14,78.36
NAV-0862,18.45,26.07
NAV-0863,120.17,14.97
NAV-0864,2.44,18.34
NAV-0865,62.82,37.26
NAV-0866,31.0,13.35
NAV-0867,22.14,20.52
NAV-0868,43.33,32.53
NAV-0869,24.97,64.25
NAV-0870,64.1,44.19
NAV-0871,70.31,26.78
NAV-0872,21.19,37.16
NAV-0873,13.69,30.5
NAV-0874,31.98,10.51
NAV-0875,73.47,70.97
NAV-0876,10.53,64.86
NAV-0877,34.28,24.72
NAV-0878,34.96,18.81
NAV-0879,44.14,10.71
NAV-0880,6.84,38.62
NAV-0881,42.38,38.78
NAV-0882,72.53,14.22
NAV-0883,9.08,30.73
NAV-0884,11.8,43.35
NAV-0885,100.7,17.9
NAV-0886,9.14,22.68
NAV-0887,60.45,22.53
NAV-0888,25.31,14.92
NAV-0889,12.26,23.0
NAV-0890,63.56,7.12
NAV-0891,22.53,21.73
NAV-0892,26.72,21.96
NAV-0893,17.83,24.92
NAV-0894,32.02,35.42
NAV-0895,8.33,10.01
NAV-0896,19.51,11.6
NAV-0897,99.11,14.63
NAV-0898,12.78,9.17
NAV-0899,37.01,37.99
NAV-0900,16.08,17.34
NAV-0901,48.66,25.45
NAV-0902,6.81,13.71
NAV-0903,99.43,20.15
NAV-0904,23.02,31.69
NAV-0905,11.73,32.68
NAV-0906,4.1,11.99
NAV-0907,8.62,24.6
NAV-0908,27.03,13.89
NAV-0909,16.68,23.99
NAV-0910,56.2,16.31
NAV-0911,21.71,73.66
NAV-0912,12.33,43.2
NAV-0913,33.83,33.59
NAV-0914,41.5,21.38
NAV-0915,8.49,43.97
NAV-0916,8.52,25.09
NAV-0917,2.26,69.21
NAV-0918,44.48,46.69
NAV-0919,37.61,20.05
NAV-0920,24.24,64.53
NAV-0921,58.68,21.45
NAV-0922,52.81,76.22
NAV-0923,31.47,66.59
NAV-0924,63.06,31.58
NAV-0925,10.3,7.36
NAV-0926,5.93,30.02
NAV-0927,13.34,11.04
NAV-0928,3.3,16.67
NAV-0929,27.77,17.59
